participant,condition,alpha1,alpha2,lmbd,beta1,beta2,p,w
1,story,0.600273,0.943526,9.35637e-07,20.0,4.05047,-0.00432783,0.929912
2,story,0.00317533,0.637366,0.000157009,20.0,4.01866,0.108072,0.450536
3,story,0.814532,0.999947,0.98269,8.38397,2.68202,-0.0015288,0.828935
5,abstract,1.0,0.671571,0.999907,11.516,4.25909,0.106896,0.926545
6,abstract,0.604346,0.354205,0.142836,19.9995,8.27956,0.03352,0.445008
7,story,0.175609,0.416309,0.495878,2.58257,3.04668,0.247774,0.685975
8,abstract,1.0,0.622316,0.743808,9.458,6.45764,0.130063,0.904643
9,abstract,0.0697988,0.0608977,0.99998,1.92714,5.53774,0.538513,3.54115e-05
10,story,0.99997,0.999998,0.335622,3.51563,1.56643,0.112033,0.832216
11,abstract,0.0721988,0.702936,0.388873,9.08441,2.16645,0.0200128,0.231909
12,abstract,0.00380726,0.945234,0.593569,19.9982,2.13086,-0.00718243,1.01601e-06
13,story,0.232251,0.981007,1.2593e-06,12.5918,3.81203,-0.0166511,0.736739
14,story,0.398206,1.0,0.999432,2.72482,2.79717,0.0199961,0.71113
15,story,0.999984,0.742834,0.493138,8.78436,3.40657,-0.0290865,0.843872
16,story,0.893203,0.459997,0.781654,5.88891,1.8755,0.0415022,0.932849
17,abstract,0.15976,0.488248,0.838154,9.11524,3.16856,0.172693,0.614308
18,story,0.00411074,1.0,0.0708585,20.0,19.9999,0.0339254,0.557766
19,abstract,0.480371,0.654895,4.6924e-06,5.80194,5.49059,0.312362,0.898028
22,story,0.960782,1.0,0.999819,5.33284,2.13281,-0.021817,0.877982
23,story,0.00817152,0.729829,0.00208246,4.12907,1.35958,0.118543,0.504881
24,story,0.999748,0.313848,0.0672233,4.94979,1.81069,0.196349,0.50943
25,abstract,0.562303,0.666071,0.838778,2.4832,2.37479,0.248355,0.535905
26,abstract,1.0,0.211701,7.37953e-13,10.5049,7.46181,0.0783542,0.300644
27,story,0.402124,0.488539,0.664999,10.3527,3.1219,0.0275414,0.69015
28,abstract,0.259043,0.36854,0.202232,8.81878,3.81033,0.128735,0.784416
30,abstract,0.938474,0.254271,0.670816,9.10555,5.2275,0.155225,0.898922
31,abstract,0.199482,0.779891,0.999657,7.17251,2.52003,0.221277,0.223642
33,story,0.0413419,1.0,0.00017496,2.09135,1.21466,-0.0332162,0.368748
34,story,1.0,1.0,0.985211,5.88065,2.65671,-0.0012346,0.79175
35,abstract,0.0477568,1.0,0.999597,7.63595,1.28888,-0.00287711,0.140914
36,story,0.24426,1.0,1.13429e-12,5.48142,2.53892,0.0224521,0.671933
37,abstract,0.0188936,0.790266,0.701236,12.3628,4.8148,0.0289961,0.477017
38,story,0.999997,0.429265,0.46228,8.46471,3.94477,-0.0536133,0.753541
39,abstract,0.450157,0.164818,0.188952,13.0165,4.20188,0.0702655,0.468477
40,abstract,0.182503,0.168644,0.617055,5.5762,5.14582,0.0513092,0.33293
41,story,0.0649115,0.208315,6.18655e-05,6.38855,1.50707,0.00488456,0.000110776
42,story,1.0,1.0,0.402604,0.786172,0.575325,-0.285535,1.09101e-09
43,abstract,0.298326,0.276805,0.484009,5.72302,3.24253,0.0180247,0.635657
44,abstract,0.0375869,0.464764,0.999623,9.96875,0.439857,0.0763484,0.530662
45,abstract,0.905996,0.596904,0.633678,9.89922,3.71343,0.120794,0.822464
46,abstract,0.0709545,0.785564,0.999969,7.46193,2.08902,0.0605017,0.615763
47,abstract,0.720528,1.0,0.697512,1.90051,1.66896,0.576504,1.97358e-05
48,story,0.309621,0.926519,0.999263,13.2208,4.68113,0.0422892,0.702636
49,abstract,0.941374,0.277674,0.999999,3.06163,4.58881,0.186977,0.374778
50,abstract,0.282297,0.0614831,0.378301,10.0853,0.950407,0.101294,0.388793
51,story,0.286258,0.638858,0.999992,9.17849,3.24959,0.0952691,0.554891
52,abstract,0.105983,0.868986,0.755753,9.21546,2.30712,0.127601,0.472332
53,abstract,0.0509399,1.0,0.933895,10.7956,3.4212,0.0454844,0.453071
54,story,0.0016811,0.633376,0.000374944,19.9979,3.48276,0.111516,0.270643
55,story,1.0,0.944899,1.92921e-135,0.258788,2.1869,0.445763,0.0
56,story,0.1803,0.715049,0.576332,7.53822,1.76837,0.0841031,0.428756
57,abstract,0.0168157,0.654342,0.999985,19.9969,1.97646,-0.0104744,0.569752
58,abstract,0.611317,0.528855,0.192099,5.75481,4.45487,0.166246,0.831342
59,abstract,0.82029,0.627495,0.966043,4.18935,3.99374,0.182623,0.804432
60,abstract,0.736859,0.231434,0.999963,4.67854,3.79031,0.198481,0.750308
61,story,0.164785,0.65741,0.574247,12.5157,2.00186,0.0677432,0.66246
62,story,0.782125,1.0,0.999997,6.94797,1.46525,0.0832871,0.812063
63,abstract,0.999999,0.1009,0.346825,6.35935,4.85593,0.0783496,0.543991
64,abstract,0.987261,0.451099,0.98485,19.548,5.37205,0.128968,0.197309
65,story,0.997666,0.192935,0.60143,2.55091,0.746658,-0.225067,0.478503
66,story,0.999193,1.0,0.604869,1.95977,2.45138,0.109791,0.48347
67,abstract,0.999878,0.688026,0.667825,4.17499,3.14446,0.144339,0.767094
68,story,0.497287,1.0,0.0672926,12.0498,2.62227,-0.0459378,0.76797
69,abstract,0.0118892,0.0553405,1.49214e-07,20.0,4.31061,0.0573714,0.550881
70,story,0.0015697,1.0,1.1314e-06,20.0,1.77747,0.0117587,6.65025e-15
71,story,0.125208,0.87949,0.876947,14.0203,4.88227,0.046612,0.440813
72,abstract,0.0718242,0.408421,5.39596e-13,14.9613,4.40065,-0.00975138,0.226042
73,abstract,0.999993,0.836729,0.814548,5.8579,3.03329,-0.0224651,0.678004
74,story,0.999998,0.759597,4.2496e-07,12.3874,5.23332,0.00103756,0.801688
75,abstract,0.498969,0.331739,0.417733,5.77231,6.46986,0.1686,0.164541
76,story,0.0221808,0.431368,0.999999,10.1245,4.45677,0.0265516,0.361554
77,abstract,0.520583,0.516367,0.933342,4.39302,2.39914,0.0296661,0.749345
78,abstract,0.702962,0.402307,1.50959e-07,0.531702,6.77924,3.70321,2.44286e-05
79,abstract,1.0,0.842248,0.342372,8.43388,8.59416,0.17525,0.696941
80,abstract,0.313391,0.177068,0.339623,3.48275,4.52851,0.0666601,8.90673e-05
81,abstract,0.00376308,0.620819,0.0632171,12.353,8.3865e-05,-0.0196938,0.0640685
82,story,0.172079,1.0,0.999993,6.6504,2.9704,0.0207872,0.671952
83,story,0.00245277,0.68537,0.999997,18.0528,1.77142,0.0311356,0.00135258
84,abstract,0.246906,0.10252,0.538863,11.5779,2.76788,-0.0126426,0.686013
86,story,0.999978,0.179308,0.00584337,0.697597,0.920617,0.204638,2.64631e-05
87,abstract,0.999089,0.514776,0.0308881,4.31755,4.54403,0.291197,0.635839
88,story,0.241303,0.672471,0.999992,0.679234,0.728323,0.134041,0.00355827
89,abstract,0.437267,0.928805,0.841402,3.43161,1.1143,0.204541,0.292555
90,story,0.999632,1.0,0.481894,5.32895,1.97671,0.0222895,0.841565
91,story,0.0059214,1.0,1.0,20.0,2.82137,0.0675171,0.140569
92,story,0.0962185,1.0,4.1976e-05,8.34823,19.8836,-0.0245374,0.862907
93,story,0.690874,0.999995,0.999996,1.6083,0.834898,0.0728333,0.872581
94,story,0.999645,1.0,0.720338,6.42397,2.8029,0.00434607,0.836615
95,story,0.999999,0.891605,1.0,2.69244,2.3798,0.0368583,0.716473
96,abstract,0.639981,0.663406,0.99997,5.8189,3.14027,0.1482,0.736852
97,abstract,1.0,0.595934,1.0,12.1202,8.97418,0.332256,1.0
98,abstract,0.00171598,0.886007,2.52084e-05,20.0,8.35385,0.0867394,0.169682
99,story,0.829526,0.135416,0.000138101,6.59111,4.4101,0.016248,0.738474
100,story,0.191156,0.960624,8.86871e-06,12.2357,3.63846,-0.00568072,0.93511
