Subject,Reward,Random-Agent-Reward,T-test,P-value
1,0.6533,0.62,0.5986,0.5499
2,0.5267,0.5267,0.0,1.0
3,0.5867,0.5867,0.0,1.0
5,0.4933,0.42,1.2742,0.2036
6,0.5533,0.5333,0.3466,0.7291
7,0.52,0.5067,0.2303,0.818
8,0.52,0.4867,0.5758,0.5652
9,0.5933,0.54,0.9303,0.353
10,0.5733,0.52,0.926,0.3552
11,0.4467,0.56,-1.9692,0.0499
12,0.56,0.58,-0.3488,0.7275
13,0.6,0.5267,1.2797,0.2016
14,0.5733,0.56,0.2323,0.8165
15,0.4133,0.44,-0.4655,0.6419
16,0.5733,0.6,-0.4676,0.6404
17,0.5667,0.5867,-0.3495,0.727
18,0.5867,0.5667,0.3495,0.727
19,0.4733,0.4067,1.1618,0.2462
22,0.5467,0.6067,-1.0501,0.2945
23,0.5133,0.58,-1.1585,0.2476
24,0.4533,0.48,-0.4615,0.6448
25,0.46,0.5333,-1.2694,0.2053
26,0.6333,0.52,1.993,0.0472
27,0.4667,0.4267,0.695,0.4876
28,0.5933,0.5867,0.117,0.9069
30,0.5533,0.5667,-0.2319,0.8168
31,0.5267,0.5133,0.2304,0.818
33,0.5533,0.5867,-0.5815,0.5614
34,0.4467,0.48,-0.5773,0.5642
35,0.56,0.5067,0.924,0.3562
36,0.54,0.48,1.0378,0.3002
37,0.5733,0.58,-0.1165,0.9074
38,0.5267,0.5467,-0.3463,0.7294
39,0.4933,0.5733,-1.3886,0.166
40,0.6467,0.5867,1.0672,0.2867
41,0.4867,0.4733,0.2304,0.818
42,0.46,0.4733,-0.2307,0.8177
43,0.5733,0.5533,0.3481,0.728
44,0.3867,0.46,-1.2846,0.1999
45,0.5267,0.5667,-0.6941,0.4882
46,0.5467,0.5067,0.692,0.4894
47,0.5933,0.5867,0.117,0.9069
48,0.4867,0.4667,0.3457,0.7298
49,0.6133,0.6733,-1.0833,0.2796
50,0.3933,0.4733,-1.398,0.1631
51,0.6,0.56,0.7001,0.4844
52,0.62,0.6267,-0.1188,0.9055
53,0.4533,0.5067,-0.9227,0.3569
54,0.66,0.62,0.7199,0.4721
55,0.5533,0.5733,-0.3481,0.728
56,0.5667,0.54,0.4631,0.6436
57,0.6533,0.5667,1.5398,0.1247
58,0.58,0.54,0.6961,0.4869
59,0.5,0.58,-1.3899,0.1656
60,0.6333,0.6067,0.4744,0.6356
61,0.5133,0.5067,0.1151,0.9084
62,0.48,0.4733,0.1152,0.9084
63,0.62,0.6067,0.2363,0.8133
64,0.48,0.5067,-0.4605,0.6455
65,0.44,0.5133,-1.2707,0.2048
66,0.4067,0.4067,0.0,1.0
67,0.4933,0.4733,0.3455,0.73
68,0.5,0.4933,0.1151,0.9085
69,0.5867,0.58,0.1167,0.9072
70,0.5867,0.6533,-1.1883,0.2357
71,0.4467,0.4867,-0.6926,0.4891
72,0.5067,0.4933,0.2302,0.8181
73,0.5267,0.56,-0.5779,0.5638
74,0.5067,0.5067,0.0,1.0
75,0.52,0.5733,-0.926,0.3552
76,0.66,0.5467,2.0132,0.045
77,0.5533,0.6,-0.8161,0.4151
78,0.5733,0.5733,0.0,1.0
79,0.5533,0.5667,-0.2319,0.8168
80,0.5667,0.56,0.116,0.9077
81,0.5333,0.5467,-0.2309,0.8175
82,0.54,0.5867,-0.813,0.4168
83,0.46,0.4467,0.2312,0.8173
84,0.5733,0.54,0.5795,0.5627
86,0.5133,0.5333,-0.3457,0.7298
87,0.5533,0.4933,1.0388,0.2998
88,0.5533,0.6333,-1.4104,0.1595
89,0.44,0.5,-1.0395,0.2994
90,0.5133,0.4933,0.3453,0.7301
91,0.5867,0.5133,1.2758,0.203
92,0.52,0.5533,-0.5773,0.5642
93,0.6133,0.5667,0.8199,0.4129
94,0.4533,0.5,-0.8074,0.4201
95,0.4933,0.54,-0.8069,0.4204
96,0.48,0.48,0.0,1.0
97,0.6667,0.6267,0.7229,0.4703
98,0.52,0.56,-0.6933,0.4887
99,0.6467,0.5333,2.0023,0.0462
100,0.48,0.52,-0.6911,0.4901
